"File_Name","Study_name","Subset","Response_Variable","Date","Model","Metabolomics","MSS","Concatenated","Averaged Stacked","Weighted NNLS","Lasso Stacked","PLS"
"franzosa_ControlvsCD_Age_11122024_enet.csv","franzosa","ControlvsCD","Age","11122024","enet",11.7971449261421,97.8145509663868,65.3525766319401,51.4305846992014,11.1775568199451,11.6409307378608,11.0816216588761
"franzosa_ControlvsCD_Age_11122024_rf.csv","franzosa","ControlvsCD","Age","11122024","rf",12.2776444446317,12.95288562671,12.5767496686364,12.5340926301584,11.4334117157802,12.1331822224622,11.433583974569
"franzosa_ControlvsCD_Age_11122024_xgboost.csv","franzosa","ControlvsCD","Age","11122024","xgboost",12.3437328511027,14.1886610027977,12.4727559717167,12.5975525113895,11.6850210729932,11.8476978537219,11.6127881796126
"franzosa_ControlvsCD_Fp_11122024_enet.csv","franzosa","ControlvsCD","Fp","11122024","enet",1.66142759385305,9.84627192677681,1.83822415110285,5.5934699087161,1.53091985582008,1.62667434223145,1.55989953852473
"franzosa_ControlvsCD_Fp_11122024_rf.csv","franzosa","ControlvsCD","Fp","11122024","rf",1.82841394881541,2.11640259128687,1.9491934146911,1.954595443717,1.64326439329392,1.80642951629962,1.64668811647325
"franzosa_ControlvsCD_Fp_11122024_xgboost.csv","franzosa","ControlvsCD","Fp","11122024","xgboost",1.79389863738654,2.21754916942466,1.81433588945598,1.91340207891315,1.7397818651196,1.74658872649724,1.74815235186655
"franzosa_ControlvsDisease_Age_11122024_enet.csv","franzosa","ControlvsDisease","Age","11122024","enet",14.3872284515916,224.802849776118,58.6220880247947,114.041470227457,13.9618814012862,14.1141656160912,14.0358500263656
"franzosa_ControlvsDisease_Age_11122024_rf.csv","franzosa","ControlvsDisease","Age","11122024","rf",14.9224034684349,15.5548593965626,15.1255071487043,15.1016280656267,13.8340420196654,14.8068713835407,13.8604248281865
"franzosa_ControlvsDisease_Age_11122024_xgboost.csv","franzosa","ControlvsDisease","Age","11122024","xgboost",14.6005317314714,16.1142215830965,15.0060072119064,14.6318300013165,13.8990574104218,14.2287715018301,13.8751435825395
"franzosa_ControlvsDisease_Fp_11122024_enet.csv","franzosa","ControlvsDisease","Fp","11122024","enet",1.47432171431441,2.08645107708313,1.62356637285925,1.64774867028258,1.40987220191167,1.4382023250415,1.40949437958225
"franzosa_ControlvsDisease_Fp_11122024_rf.csv","franzosa","ControlvsDisease","Fp","11122024","rf",1.62704103952319,2.01247802136428,1.70513670910638,1.78748396262014,1.46298980853331,1.59985251511994,1.4818006248807
"franzosa_ControlvsDisease_Fp_11122024_xgboost.csv","franzosa","ControlvsDisease","Fp","11122024","xgboost",1.50108414078096,2.17603639077029,1.51590693951755,1.7147218727549,1.43192801418155,1.47134653820681,1.43513726180363
"franzosa_ControlvsUC_Age_11122024_enet.csv","franzosa","ControlvsUC","Age","11122024","enet",15.7319185936885,326.828921863229,63.9692538018296,167.73682325681,15.1178685826841,15.4286347743636,14.992859873392
"franzosa_ControlvsUC_Age_11122024_rf.csv","franzosa","ControlvsUC","Age","11122024","rf",16.8159880216078,16.9458237378707,16.8065748656526,16.64599803371,15.2297199794457,16.2873404258426,15.1531719563245
"franzosa_ControlvsUC_Age_11122024_xgboost.csv","franzosa","ControlvsUC","Age","11122024","xgboost",17.4507790911182,18.1559773596845,17.7152694060562,17.1834622042477,16.2674169312431,16.3982293318025,16.014227894185
"franzosa_ControlvsUC_Fp_11122024_enet.csv","franzosa","ControlvsUC","Fp","11122024","enet",1.52197597764769,2.1542382612571,1.70117140236345,1.70203532549118,1.4739024353824,1.47689940876382,1.45287239578496
"franzosa_ControlvsUC_Fp_11122024_rf.csv","franzosa","ControlvsUC","Fp","11122024","rf",1.6307531030262,1.97761621536988,1.67995664206505,1.76062047603557,1.55603585302799,1.5994108905791,1.55696916814029
"franzosa_ControlvsUC_Fp_11122024_xgboost.csv","franzosa","ControlvsUC","Fp","11122024","xgboost",1.66532075885588,2.08378590390041,1.77820122767393,1.73776361358753,1.5510684678416,1.58420604112323,1.52401240654513
